report_month,claim_count_projection_nonlagged_mid,claim_count_projection_nonlagged_low,claim_count_projection_nonlagged_high,claim_count_projection,claim_count_projection_mid,claim_count_projection_low,claim_count_projection_high
2021-04-01,420.4886455622916,347.30091867229623,493.67637245228696,85.0,505.4886455622916,432.30091867229623,578.676372452287
2021-05-01,435.78077181625264,359.9313893223453,511.63015431016,21.0,456.78077181625264,380.9313893223453,532.6301543101599
2021-06-01,453.05219771381604,374.19665461383255,531.9077408137995,12.0,465.05219771381604,386.19665461383255,543.9077408137995
2021-07-01,473.56251057035223,391.13706566299606,555.9879554777084,9.0,482.56251057035223,400.13706566299606,564.9879554777084
2021-08-01,493.28207597406197,407.4243620092948,579.139789938829,6.0,499.28207597406197,413.4243620092948,585.139789938829
2021-09-01,503.78392001202366,416.0983181805964,591.4695218434509,4.0,507.78392001202366,420.0983181805964,595.4695218434509
2021-10-01,522.0987850714531,431.2254078835612,612.9721622593449,3.0,525.0987850714531,434.2254078835612,615.9721622593449
2021-11-01,542.0560973828187,447.7090703394133,636.4031244262243,1.0,543.0560973828187,448.7090703394133,637.4031244262243
2021-12-01,563.8283182537152,465.6917492768837,661.9648872305468,2.0,565.8283182537152,467.6917492768837,663.9648872305468
